,county,state,total_percentage16,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton, total_percentage20 ,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,lat,long,cases,deaths,percentage_deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomePerCap,Poverty,Professional,Service,Office,Construction,Production,SelfEmployed,FamilyWork,Unemployment,Total_Mail_Ballots_Returned20,Mail_Ballots_Returned_Trump20,Mail_Ballots_Returned_Biden20
133,Quitman,GA,0.03,55.10,44.20,1044,575,461, 0.02 ,54.60,44.90,1106,604,497,31.86728114,-85.01773177,41,1,0.04,2140,1024,1116,0.6,41.9,50.7,0,5,0.2,1707,26750,18921,22.8,13.7,18.7,28.9,3.3,35.4,10,0,12.1,180.93,12.05,168.87
134,Rabun,GA,0.20,79.10,18.20,7949,6287,1443, 0.19 ,78.10,20.70,9568,7474,1984,34.88389445,-83.40304637,437,11,0.42,16354,8126,8228,8.1,87.1,1.9,0.5,0.8,0,12891,39297,26942,20.3,33.4,19.3,20.9,16.5,9.8,11.2,0,5.7,1565.20,104.28,1460.92
135,Randolph,GA,0.07,43.90,55.20,2895,1270,1597, 0.06 ,45.30,54.40,3074,1391,1671,31.76622818,-84.75732369,340,30,1.15,7206,3574,3632,1.7,36.2,59.7,0,1.4,0,5523,30640,19781,35.1,27.7,19.7,20.2,9.5,22.9,5.2,0,8.9,502.87,33.50,469.36
136,Richmond,GA,1.86,32.60,65.00,74952,24441,48707, 1.74 ,30.80,67.90,87016,26781,59124,33.35777107,-82.07026432,8160,185,7.06,201568,97435,104133,4.8,35.5,55.2,0.2,1.8,0.2,150995,39430,21464,24.2,29.9,22.5,26,9,12.6,3.1,0.1,11.6,14234.67,948.35,13286.32
137,Rockdale,GA,0.93,35.80,61.70,37589,13463,23206, 0.90 ,29.10,69.90,44686,13012,31244,33.65145002,-84.02202167,2175,41,1.56,88482,41755,46727,10.2,34.6,51,0.1,2,0.2,62080,54175,24254,16.3,34.1,17.3,24.3,8.7,15.5,5.2,0.2,8.7,7310.04,487.01,6823.03
138,Schley,GA,0.05,77.10,21.00,1909,1472,401, 0.05 ,79.10,20.30,2275,1800,462,32.2654021,-84.31258912,109,2,0.08,5168,2496,2672,5,67.2,27.5,0,0,0,3790,41267,19761,22.2,31.2,16.3,21.5,13.5,17.5,3.7,0,14.2,372.16,24.79,347.37
139,Screven,GA,0.14,58.00,40.40,5699,3305,2300, 0.13 ,59.10,40.10,6628,3916,2661,32.74976524,-81.60779441,454,11,0.42,14037,6896,7141,1.8,54.5,41.7,0.3,0.5,0,10870,36556,20255,22.6,27.8,16,22.6,11.6,22,6.1,0.2,5.5,1084.25,72.24,1012.02
140,Seminole,GA,0.09,65.50,33.20,3577,2343,1186, 0.08 ,67.20,32.30,3884,2611,1254,30.93464824,-84.86823924,396,11,0.42,8549,4003,4546,3,61.6,33.7,0,1,0,6601,33999,21257,25.5,34.1,21.9,18.7,7.2,18.2,8.5,0.2,7.3,635.37,42.33,593.04
141,Spalding,GA,0.64,60.30,36.00,25940,15636,9347, 0.60 ,60.00,39.10,30116,18057,11784,33.26310031,-84.28013991,1631,63,2.40,64192,31075,33117,4.3,59.4,33.3,0.4,0.9,0,47623,42398,21675,21.6,27.9,17.2,25.6,10.5,18.8,3.6,0.4,8.3,4926.58,328.22,4598.36
142,Stephens,GA,0.24,78.70,18.80,9760,7682,1835, 0.24 ,78.80,20.10,11885,9368,2385,34.55151201,-83.29405315,1293,42,1.60,25625,11930,13695,3.2,82.8,11.7,0.3,0.4,0,19445,39756,21657,18.1,28.4,20.4,20.9,9.8,20.4,5.5,0,11.7,1944.23,129.53,1814.70
143,Stewart,GA,0.05,39.20,59.40,2053,805,1220, 0.04 ,40.30,59.40,1990,801,1182,32.07996777,-84.83208037,571,16,0.61,5832,3618,2214,20.3,25.8,50.3,0.2,2.2,0,3239,22413,14954,41.5,31.6,18,22.6,6.9,20.9,1.1,0,11.8,325.54,21.69,303.85
144,Sumter,GA,0.27,48.10,50.30,10973,5275,5520, 0.24 ,47.20,52.00,12150,5732,6318,32.03650571,-84.19821492,967,68,2.60,30687,14492,16195,5.3,39.8,52.3,0.1,1.1,0,22763,34219,18785,33.4,31.2,17.8,20.6,9,21.4,5.7,0,10.6,1987.58,132.42,1855.16
145,Talbot,GA,0.08,36.90,61.70,3243,1196,2001, 0.07 ,39.50,60.00,3522,1392,2114,32.69642758,-84.53351366,180,8,0.31,6423,3030,3393,2.3,40.2,56.4,0.1,0.5,0,5273,37226,21351,16.9,17.3,23.1,19.8,12.4,27.3,3.9,0.6,8.2,576.15,38.38,537.77
146,Taliaferro,GA,0.02,38.90,60.80,897,349,545, 0.02 ,38.80,60.50,928,360,561,33.56543317,-82.88136816,31,0,0.00,1844,938,906,4.2,33.7,61.6,0,0.3,0,1532,30500,17939,31,19.5,21.5,17.1,18.2,23.8,5.7,0,9.5,151.81,10.11,141.69
147,Tattnall,GA,0.17,74.00,24.40,6879,5092,1678, 0.16 ,74.00,25.20,8183,6053,2061,32.04785085,-82.05539188,955,16,0.61,25402,14892,10510,10.8,58.4,29.2,0.2,0.2,0,19266,36355,16279,23.7,29.6,19.5,21,18.7,11.3,7.8,0.1,4,1338.63,89.18,1249.45
148,Taylor,GA,0.08,60.60,38.10,3402,2062,1295, 0.08 ,63.00,36.10,3839,2418,1387,32.55792548,-84.25077141,237,12,0.46,8267,4047,4220,1,57.5,40.4,0,0.9,0,6478,29875,18482,28.2,28.2,20.9,20.4,13,17.5,6,0,14.1,628.01,41.84,586.17
149,Telfair,GA,0.09,64.50,34.60,3794,2449,1313, 0.09 ,65.20,34.30,4333,2825,1487,31.92829517,-82.93491155,495,24,0.92,16339,9532,6807,11.6,49.1,38.8,0,0,0,11475,28044,13594,27.7,24.5,19.2,18,12.1,26.2,6,0,4.1,708.82,47.22,661.60
150,Terrell,GA,0.10,44.80,54.20,4179,1872,2267, 0.09 ,45.40,53.80,4416,2004,2376,31.77527543,-84.44069698,341,32,1.22,8978,4229,4749,2.7,35.5,60.6,0,0.2,0,6774,32219,17562,35.3,21.5,17.6,26.2,13,21.7,9.3,0,10.4,722.40,48.13,674.27
151,Thomas,GA,0.46,59.90,38.10,18730,11225,7138, 0.44 ,59.30,39.80,21853,12954,8708,30.86392347,-83.91847289,1625,71,2.71,44909,21200,23709,3.5,57.7,35.8,0.1,0.8,0,33339,41336,24047,19.5,35.2,18.6,24.4,8.6,13.3,4.7,0.1,9.3,3574.86,238.17,3336.70
152,Tift,GA,0.32,67.80,30.40,12796,8680,3892, 0.33 ,66.20,32.70,16283,10784,5322,31.45743864,-83.5236119,1984,65,2.48,40531,19502,21029,11.4,56.3,29.3,0.1,1.2,0,28661,38728,20800,27.8,31.6,16.4,23.7,13.7,14.6,4.4,0.3,3.9,2663.68,177.46,2486.22
153,Toombs,GA,0.23,72.60,25.70,9108,6612,2338, 0.22 ,72.10,26.90,10914,7872,2939,32.12059861,-82.32957247,1523,57,2.18,27160,12706,14454,11.6,60.5,25.4,0,0.9,0,18462,35750,21309,24.4,26.3,18.2,22.7,17.1,15.6,6.6,0,10.3,1785.39,118.95,1666.44
154,Towns,GA,0.17,79.90,17.90,6726,5377,1206, 0.16 ,80.00,19.40,7979,6384,1550,34.91369188,-83.7410746,455,13,0.50,11173,5272,5901,1.5,95,1,0.3,0.2,0,9532,41182,22301,14.7,30.3,24.8,26.5,9.2,9.2,9.7,0.2,6.8,1305.26,86.96,1218.30
155,Treutlen,GA,0.07,67.00,31.90,2700,1808,860, 0.06 ,68.30,30.90,3077,2101,952,32.40422134,-82.56904553,315,12,0.46,6752,3394,3358,2.1,68,29.6,0,0,0,5184,39375,20775,21,23.2,24.1,16.4,14.3,22,6.5,0,5.6,503.36,33.53,469.82
156,Troup,GA,0.64,60.60,37.20,25793,15643,9597, 0.60 ,60.40,38.50,30059,18146,11585,33.03349196,-85.02812115,3069,109,4.16,69433,33345,36088,3.7,57.3,35.1,0,1.9,0,50332,43597,22091,21.3,28.6,16,21.3,8.7,25.4,4.3,0.1,8.9,4917.26,327.60,4589.66
157,Turner,GA,0.08,61.80,36.70,3390,2094,1243, 0.08 ,61.90,37.20,3792,2349,1410,31.71612656,-83.62069378,339,24,0.92,8036,3937,4099,4.6,54.7,39.5,0.2,0.4,0,5894,42622,20302,27.9,28.4,17.8,21.1,19.6,13,4,0,6.5,620.32,41.33,578.99
158,Twiggs,GA,0.10,50.20,48.60,4053,2034,1970, 0.09 ,53.30,46.00,4444,2370,2044,32.67435595,-83.43078662,224,10,0.38,8323,4101,4222,0.4,54.9,42.6,0,0.1,0,6658,30629,17485,27.3,20.5,19.1,21.8,18.6,20,6.8,0,6.3,726.98,48.43,678.55
159,Union,GA,0.30,81.80,16.30,12039,9849,1962, 0.31 ,81.10,18.00,15592,12651,2801,34.82995757,-83.98967069,912,26,0.99,22262,10855,11407,3.1,94.2,0.8,0.4,0.7,0,18352,42767,26755,12.8,31.5,18.4,23.2,17.4,9.6,9.5,0,5.5,2550.65,169.93,2380.72
160,Upson,GA,0.27,66.70,31.80,10924,7288,3471, 0.26 ,66.70,32.60,12905,8608,4201,32.87920671,-84.30024826,843,70,2.67,26241,12568,13673,2.3,67.6,28.5,0.3,0.5,0.1,20015,35375,19624,22.7,29.1,17.4,23.3,10.4,19.9,5,0,11.2,2111.09,140.65,1970.44
161,Walker,GA,0.59,79.10,17.60,23939,18938,4213, 0.59 ,78.70,19.60,29436,23174,5769,34.73376362,-85.30165174,1952,46,1.76,68609,33911,34698,2,91.4,4.3,0.1,0.6,0,52835,43581,22564,17.2,27.9,13.9,24.5,11.5,22.1,5.7,0.1,7,4815.34,320.81,4494.53
162,Walton,GA,1.00,76.90,20.50,40425,31093,8279, 1.02 ,74.00,24.90,50812,37617,12634,33.78017694,-83.73552314,2394,70,2.67,88695,43120,45575,4,75.9,16.5,0.2,1.2,0.1,64874,55876,25184,12.8,28.5,15.3,27.8,14.4,14.1,5.9,0.2,6.9,8312.17,553.78,7758.40
163,Ware,GA,0.30,70.00,28.30,12150,8508,3436, 0.29 ,69.50,29.70,14296,9930,4249,31.05449097,-82.42224148,1765,65,2.48,35688,17900,17788,4,63.8,29.5,0.4,1.1,0,26673,36962,19246,24.8,25.6,16.1,25.2,13.5,19.6,7,0,4.6,2338.64,155.81,2182.83
164,Warren,GA,0.06,42.50,56.30,2332,991,1313, 0.05 ,43.90,55.50,2681,1177,1488,33.41146451,-82.67795848,170,6,0.23,5410,2534,2876,0.6,37.2,60.6,0,1,0.3,4197,32860,20712,26.8,21.3,14.2,28,11.1,25.4,7.5,0,8.2,438.58,29.22,409.36
165,Washington,GA,0.21,49.10,49.70,8422,4138,4187, 0.19 ,49.30,50.00,9459,4663,4730,32.96711864,-82.79357039,792,13,0.50,20506,10343,10163,2.3,43.2,52.9,0,0.6,0,15650,38097,19238,27.1,28.2,19.7,23.7,10,18.5,6,0.4,9.3,1547.37,103.09,1444.28
166,Wayne,GA,0.26,78.50,19.70,10376,8147,2039, 0.26 ,78.20,21.00,12778,9987,2687,31.5521809,-81.91894878,1268,33,1.26,29833,15206,14627,6.2,71.2,19.5,0.1,0.5,0,21839,41534,19188,21.3,30.8,16,20.7,16.1,16.3,7.8,0.8,9.5,2090.31,139.26,1951.05
167,Webster,GA,0.03,56.60,42.30,1114,630,471, 0.03 ,53.80,46.00,1390,748,639,32.04066113,-84.54742852,44,2,0.08,2627,1329,1298,2.1,48.4,48.8,0.1,0,0,1994,36658,22206,19.5,29.7,15.3,21.9,12.6,20.4,2.9,0,4,227.39,15.15,212.24
168,Wheeler,GA,0.05,67.60,30.70,2102,1421,646, 0.05 ,69.30,30.20,2285,1583,689,32.12009104,-82.72574721,370,17,0.65,7952,5132,2820,1.6,56.1,41.7,0.3,0,0,6529,28490,11192,29.3,14.3,20.5,17.6,19.5,28.1,9,0,9.1,373.80,24.90,348.89
169,White,GA,0.29,82.80,14.20,11771,9751,1672, 0.30 ,82.50,16.30,14816,12222,2411,34.64624278,-83.74905525,1022,24,0.92,28509,13814,14695,3.1,92.5,2.1,0.1,0.5,0,22242,43944,23630,17.7,30.5,19.1,25.9,9.9,14.7,7.8,0.1,4.3,2423.70,161.47,2262.23
170,Whitfield,GA,0.75,70.90,26.10,30362,21514,7925, 0.74 ,69.80,29.00,36746,25636,10670,34.80987459,-84.96093476,5701,64,2.44,103963,51566,52397,34.2,59.5,3.9,0.1,1.4,0,62068,43871,22262,19.2,22.2,11.8,22.4,9,34.6,3.5,0.1,8,6011.16,400.48,5610.68
171,Wilcox,GA,0.07,70.50,28.70,2973,2096,852, 0.07 ,73.20,26.30,3281,2403,862,31.97496928,-83.43438555,259,25,0.95,8896,5248,3648,4.3,58.5,35.3,0.3,0,0,7025,35457,15119,21.8,28.7,23.8,16.5,16,15,10.1,0.1,7.6,536.73,35.76,500.97
172,Wilkes,GA,0.11,57.50,41.30,4470,2569,1844, 0.10 ,56.10,42.90,5029,2823,2159,33.78290391,-82.74286107,317,7,0.27,9905,4749,5156,4.6,51.1,42.5,0,0.8,0,7615,34234,21957,26.5,24.1,23.8,15.3,9.9,26.8,5.8,0,7.5,822.68,54.81,767.87
173,Wilkinson,GA,0.11,54.50,44.30,4276,2332,1893, 0.10 ,55.80,43.50,4770,2664,2075,32.80291082,-83.17140684,374,17,0.65,9147,4385,4762,2.7,56.8,38.2,0.1,0,0.1,6922,38711,19823,23.3,23.1,16.5,26.1,16.5,17.7,4.8,0,8.8,780.31,51.99,728.32
174,Worth,GA,0.21,74.30,24.40,8266,6144,2015, 0.19 ,73.60,25.80,9286,6831,2395,31.55162306,-83.85090513,612,35,1.34,20809,10171,10638,2,67.4,28.2,0.5,0.3,0,15850,40369,20783,21.5,27.1,16.5,23.2,15.3,17.8,7.3,0,9.7,1519.07,101.20,1417.86
175,Alcona,MI,8.81,68.00,28.00,6179,4201,1732, 7.80 ,68.60,30.30,7063,4848,2142,44.6846864,-83.59507875,55,3,0.11,10413,5247,5166,1.4,96,0.3,0.5,0.4,0,8984,39424,24463,14.9,23.5,20.9,22.9,13.2,19.6,7.5,0.2,9.3,,76.98,1078.44
176,Alger,MI,6.43,57.30,36.80,4513,2585,1663, 5.67 ,58.70,40.00,5135,3014,2053,46.41292944,-86.60260122,121,1,0.04,9254,5088,4166,1.4,84.2,7.2,3.3,0.1,0,7779,42647,21771,13,27.9,23.2,23.1,8.1,17.7,5.3,0,6.9,,55.96,784.05
177,Allegan,MI,78.64,61.30,32.50,55153,33812,17932, 74.22 ,61.60,36.40,67182,41381,24447,42.59147037,-85.89102866,1503,7,0.27,114145,56997,57148,7.2,88.7,1.3,0.5,0.6,0,84358,58487,27172,10.8,30.3,14.7,20.1,12.4,22.5,5.9,0.2,3.6,,732.18,10257.90
178,Alpena,MI,20.94,61.90,33.20,14688,9090,4877, 18.74 ,63.00,35.40,16966,10686,6000,45.03477666,-83.62212411,180,14,0.53,28730,14169,14561,1.3,96,0.5,0.4,0.4,0.1,23062,40954,24030,15,29.5,19.8,26.1,10,14.6,6.4,0.2,6.4,,184.90,2590.51
179,Antrim,MI,19.35,62.40,32.80,13572,8469,4448, 19.16 ,56.40,42.00,17347,9783,7289,44.99690221,-85.15503082,143,0,0.00,23133,11479,11654,2.1,95,0.3,0.8,0.3,0,18589,50988,29307,12.6,27.5,21.6,22.5,10.8,17.7,10.3,0.2,6.1,,189.06,2648.68
180,Arenac,MI,10.63,63.10,30.00,7457,4704,2238, 9.75 ,67.10,31.40,8830,5928,2773,44.0636262,-83.89277559,111,3,0.11,15238,7714,7524,2,94.9,0.5,1.3,0.4,0,12396,39947,22622,18.5,25.6,21.1,22,11.6,19.7,7,0.3,9.6,,96.23,1348.24
181,Baraga,MI,4.97,61.90,33.20,3486,2158,1156, 4.46 ,62.20,36.60,4036,2512,1478,46.6720582,-88.36363591,125,4,0.15,8580,5112,3468,1.5,73.1,15.8,4.7,0.5,0,6953,42757,18975,14.4,25.8,22.5,24.1,10.1,17.5,5.4,0.4,6,,43.99,616.25
182,Barry,MI,43.15,63.40,30.10,30265,19197,9109, 39.67 ,65.40,32.90,35914,23473,11804,42.59513984,-85.30834519,803,6,0.23,59607,29958,29649,2.7,94.6,0.4,0.2,0.5,0,45486,57312,27166,9.3,29,16.4,22.6,12.5,19.5,6.1,0.1,6.2,,391.41,5483.65
183,Bay,MI,75.47,53.50,40.90,52932,28327,21641, 67.37 ,54.70,43.70,60985,33347,26653,43.70639106,-83.98731479,1602,65,2.48,105350,51875,53475,5.2,90.4,1.5,0.2,0.6,0,82835,45983,25462,16.3,29.4,20.4,25,8.8,16.4,5.5,0.1,7.4,,664.65,9311.69
184,Benzie,MI,14.57,54.20,40.20,10221,5539,4108, 13.54 ,53.80,44.70,12259,6600,5480,44.63899297,-86.01608482,145,2,0.08,17462,8694,8768,2.4,93.9,0.3,1.4,0.4,0,14050,53185,26790,10,31,20.5,22.9,13.4,12.2,6.9,0.2,6.5,,133.60,1871.81
185,Berrien,MI,102.49,53.80,41.00,71882,38646,29496, 91.00 ,52.80,45.40,82378,43518,37438,41.95447397,-86.4131308,2985,86,3.28,154948,75835,79113,5.2,75.1,14.6,0.3,1.9,0,115590,47132,27505,17.2,34.2,18.5,22.3,9,16,5.9,0.2,7.3,,897.80,12578.15
186,Branch,MI,23.51,66.90,28.70,16490,11025,4740, 22.69 ,68.50,30.00,20541,14067,6161,41.91600556,-85.05929476,973,11,0.42,43543,22517,21026,4.5,90.9,2.3,0.3,0.5,0,32719,48192,22977,15.9,22.8,18.4,22.1,10.3,26.5,6.6,0.2,4.6,,223.87,3136.37
187,Calhoun,MI,83.82,53.60,41.10,58786,31489,24154, 72.43 ,54.80,43.30,65568,35900,28417,42.24633834,-85.00493569,3275,70,2.67,134327,65652,68675,5,78.3,10.6,0.6,2.1,0,100589,46213,24859,17.4,29,19.6,21.4,7.5,22.5,4.9,0.1,7.4,,714.59,10011.46
188,Cass,MI,33.18,61.20,31.20,23272,14241,7270, 28.97 ,63.60,34.80,26221,16686,9122,41.91522292,-85.99405727,1103,24,0.92,51397,25861,25536,3.7,86.4,4.8,1.1,0.8,0,40105,50699,28019,13.6,28.6,15,21,11.6,23.7,5.3,0.1,7.8,,285.77,4003.64
189,Charlevoix,MI,20.77,59.50,35.30,14567,8674,5137, 18.78 ,57.90,40.80,17000,9841,6939,45.37790017,-85.19614053,220,4,0.15,26160,12868,13292,1.8,94,0.4,1.2,0.4,0.1,20708,51567,31730,11.6,30.7,19.9,23.1,10.4,15.9,8.6,0.4,6.2,,185.27,2595.70
190,Cheboygan,MI,19.46,63.60,31.50,13647,8680,4302, 17.51 ,64.20,34.30,15849,10171,5435,45.44787015,-84.50122149,187,2,0.08,25475,12680,12795,1.3,92.2,0.8,2,0.4,0,20913,42876,24956,16.8,26.8,21.1,24.4,13.9,13.8,7.5,0.4,10.7,,172.73,2419.96
191,Chippewa,MI,22.01,59.10,34.80,15434,9120,5378, 19.53 ,60.40,37.60,17675,10682,6651,46.29552653,-84.54353449,187,0,0.00,38023,20948,17075,1.8,70.1,6.4,13.9,1,0.1,30374,44030,21958,17.1,29.1,27,23.5,7.6,12.7,7,0.6,9,,192.63,2698.77
192,Clare,MI,19.09,63.60,31.80,13385,8507,4250, 17.98 ,66.70,31.90,16280,10860,5200,43.98794227,-84.8481986,319,14,0.53,30597,15148,15449,1.9,95.1,0.5,0.5,0.3,0,24405,35913,21198,23.6,25.1,21.6,22.6,12.4,18.3,9.3,0.5,11.5,,177.43,2485.77
193,Clinton,MI,57.84,53.30,40.70,40564,21635,16490, 52.92 ,52.40,45.80,47902,25095,21963,42.94400871,-84.60145248,1297,16,0.61,77321,38231,39090,4.4,90.2,1.7,0.1,1.5,0,58317,64903,32792,10.1,40.4,15.7,22.7,8.7,12.4,5.8,0.2,4.3,,522.06,7314.07
194,Crawford,MI,9.74,63.70,30.90,6833,4354,2110, 8.47 ,64.60,34.10,7665,4955,2612,44.68255561,-84.61006219,157,5,0.19,13821,6953,6868,1.8,95,0.7,0.5,0.6,0.1,11151,42666,22891,16.4,26.1,22.9,22.5,11,17.4,7.1,0.5,10.4,,83.54,1170.36
195,Delta,MI,26.33,60.20,34.80,18467,11112,6431, 23.37 ,62.40,36.00,21154,13206,7605,45.9048491,-86.9080745,1397,38,1.45,36395,18084,18311,1.2,93.2,0.3,1.8,0.4,0,28843,44639,25582,14.4,28.1,18,23.6,10.9,19.4,5.2,0.4,6.5,,230.55,3229.97
196,Dickinson,MI,18.74,65.30,29.90,13140,8580,3923, 14.66 ,63.80,34.40,13268,8469,4569,46.00999672,-87.86961634,760,21,0.80,25694,12819,12875,1.4,95.6,0.6,0.8,0.6,0,20460,45681,25998,15.2,35.4,17.1,20.9,11.6,15.1,4.9,0.3,6,,144.60,2025.87
197,Eaton,MI,79.40,49.60,44.10,55686,27608,24534, 71.20 ,49.30,48.60,64451,31797,31297,42.59599185,-84.83740035,1304,11,0.42,108586,53065,55521,5.2,83.4,6.5,0.5,2.1,0,83282,59244,30064,10.9,34.2,16.5,24.9,8.2,16.2,4.6,0.1,5.8,,702.42,9840.91
198,Emmet,MI,26.77,56.50,37.10,18774,10616,6972, 24.50 ,54.70,43.60,22176,12135,9662,45.52625509,-84.89083249,332,4,0.15,32978,16359,16619,1.6,91.4,0.5,2.2,0.6,0.1,26034,51475,31356,10.7,35,22,23,10.3,9.8,8.6,0.2,6.1,,241.69,3386.02
199,Genesee,MI,279.66,42.90,52.40,196135,84174,102744, 246.31 ,44.50,53.90,222969,99199,120082,43.02244215,-83.70589709,7352,343,13.09,410881,198115,212766,3.3,72.5,19.8,0.4,1,0,312137,45231,25180,20,31.5,19.5,24.2,8.3,16.5,5,0.2,10.8,,2430.03,34044.75
200,Gladwin,MI,17.78,65.10,30.40,12472,8124,3794, 16.13 ,67.70,31.00,14603,9893,4524,43.98901072,-84.38774817,240,2,0.08,25324,12719,12605,1.5,96.2,0.4,0.5,0.5,0,20362,40871,23491,20.2,24.7,17.8,22.6,14.9,20,7.4,0.8,7.4,,159.15,2229.71
201,Gogebic,MI,10.43,55.00,40.00,7313,4019,2925, 9.15 ,55.60,43.20,8279,4600,3573,46.40862701,-89.69377193,462,11,0.42,15577,8445,7132,1.3,89.6,4.2,2.7,0.3,0.1,13085,36689,22297,20.4,27.3,25,16.6,12.1,19,5.2,0.2,6.7,,90.23,1264.11
